date;series_1;series_2
20.11.02;8623.01;3212.99
21.11.02;8845.15;3304.63
22.11.02;8804.84;3320.88
23.11.02;8849.4;3299.24
24.11.02;8676.42;3191.63
25.11.02;8931.68;3346.14
26.11.02;8931.68;3360.76
27.11.02;8896.09;3320.32
28.11.02;8862.57;3380.2
29.11.02;8742.93;3280.49
30.11.02;8737.85;3320.75
01.12.02;8623.28;3224.74
02.12.02;8645.77;3207.53
03.12.02;8473.41;3065.57
04.12.02;8574.26;3167.99
05.12.02;8538.4;3111.88
06.12.02;8433.71;3077.06
07.12.02;8627.4;3205.29
08.12.02;8535.39;3139.97
09.12.02;8447.35;3022.69
10.12.02;8364.8;2961.41
11.12.02;8511.32;3024.22
12.12.02;8448.11;3000.84
13.12.02;8448.11;3000.84
14.12.02;8432.61;3000.84
15.12.02;8303.78;2840.0
16.12.02;8332.85;2892.63
17.12.02;8341.63;2892.63
18.12.02;8607.52;3105.04
19.12.02;8773.57;3157.25
20.12.02;8595.31;2993.0
21.12.02;8776.18;3037.68
22.12.02;8784.89;3037.33
23.12.02;8785.98;3060.65
24.12.02;8842.62;3098.72
25.12.02;8723.18;3049.4
26.12.02;8697.87;3054.11
27.12.02;8586.74;2918.82
28.12.02;8318.73;2803.25
29.12.02;8131.01;2717.82
30.12.02;7989.56;2643.8
31.12.02;8088.84;2671.36
01.01.03;8053.81;2747.83
02.01.03;8109.82;2751.99
03.01.03;8013.29;2632.98
04.01.03;7985.18;2725.88
05.01.03;7864.23;2569.34
06.01.03;7920.11;2586.09
07.01.03;7843.11;2627.0
08.01.03;7758.17;2571.25
09.01.03;7749.87;2555.27
10.01.03;7908.8;2674.46
11.01.03;7908.8;2708.97
12.01.03;8041.15;2740.14
13.01.03;7914.96;2591.26
14.01.03;8018.11;2648.87
15.01.03;7858.24;2571.35
16.01.03;7909.5;2485.5
17.01.03;7884.99;2513.22
18.01.03;7891.08;2547.05
19.01.03;7704.87;2501.03
20.01.03;7775.6;2498.02
21.01.03;7673.99;2437.51
22.01.03;7740.03;2431.66
23.01.03;7821.75;2354.31
24.01.03;7859.71;2403.19
25.01.03;8141.92;2487.12
26.01.03;8194.23;2584.61
